table_name
BANDHANBNK_fo_1M
BANKNIFTY_fo_1M
ASTRAL_fo_1M
MANAPPURAM_fo_1M
SBIN_fo_1M
BAJFINANCE_fo_1M
FINNIFTY_fo_1M
SIEMENS_fo_1M
UPL_fo_1M
ABB_fo_1M
TATASTEEL_fo_1M
RECLTD_fo_1M
NTPC_fo_1M
ADANIENT_fo_1M
MCDOWELL-N_fo_1M
M&MFIN_fo_1M
BHARTIARTL_fo_1M
ASIANPAINT_fo_1M
TVSMOTOR_fo_1M
BPCL_fo_1M
RELIANCE_fo_1M
NIFTYNXT50_fo_1M
PIDILITIND_fo_1M
NIFTY_fo_1M
MIDCPNIFTY_fo_1M
POLYCAB_fo_1M
APOLLOTYRE_fo_1M
BALKRISIND_fo_1M
LT_fo_1M
CANBK_fo_1M
BHARATFORG_fo_1M
EXIDEIND_fo_1M
SYNGENE_fo_1M
AXISBANK_fo_1M
NATIONALUM_fo_1M
SBICARD_fo_1M
SHRIRAMFIN_fo_1M
BANKBARODA_fo_1M
TATACONSUM_fo_1M
BAJAJ-AUTO_fo_1M
PIIND_fo_1M
PFC_fo_1M
NMDC_fo_1M
SUNPHARMA_fo_1M
JINDALSTEL_fo_1M
NESTLEIND_fo_1M
PETRONET_fo_1M
MGL_fo_1M
TECHM_fo_1M
MCX_fo_1M
PVRINOX_fo_1M
PNB_fo_1M
COFORGE_fo_1M
AMBUJACEM_fo_1M
OBEROIRLTY_fo_1M
VOLTAS_fo_1M
MARUTI_fo_1M
PERSISTENT_fo_1M
M&M_fo_1M
BEL_fo_1M
VEDL_fo_1M
TCS_fo_1M
LICHSGFIN_fo_1M
OFSS_fo_1M
SRF_fo_1M
POWERGRID_fo_1M
MARICO_fo_1M
LTIM_fo_1M
KOTAKBANK_fo_1M
LUPIN_fo_1M
LTTS_fo_1M
BHEL_fo_1M
TRENT_fo_1M
IOC_fo_1M
IGL_fo_1M
NAUKRI_fo_1M
TORNTPHARM_fo_1M
AUBANK_fo_1M
HAL_fo_1M
ITC_fo_1M
ABCAPITAL_fo_1M
MPHASIS_fo_1M
MUTHOOTFIN_fo_1M
TITAN_fo_1M
UBL_fo_1M
SHREECEM_fo_1M
TATAMOTORS_fo_1M
ADANIPORTS_fo_1M
INDUSTOWER_fo_1M
BERGEPAINT_fo_1M
INDIGO_fo_1M
WIPRO_fo_1M
BRITANNIA_fo_1M
ABFRL_fo_1M
RAMCOCEM_fo_1M
AARTIIND_fo_1M
DIXON_fo_1M
AUROPHARMA_fo_1M
INDUSINDBK_fo_1M
MOTHERSON_fo_1M
BAJAJFINSV_fo_1M
LAURUSLABS_fo_1M
APOLLOHOSP_fo_1M
ONGC_fo_1M
IEX_fo_1M
TATACOMM_fo_1M
ACC_fo_1M
TATACHEM_fo_1M
HDFCBANK_fo_1M
IDFCFIRSTB_fo_1M
JUBLFOOD_fo_1M
CHOLAFIN_fo_1M
INFY_fo_1M
INDHOTEL_fo_1M
ABBOTINDIA_fo_1M
ALKEM_fo_1M
ASHOKLEY_fo_1M
ATUL_fo_1M
BALRAMCHIN_fo_1M
BATAINDIA_fo_1M
BIOCON_fo_1M
BOSCHLTD_fo_1M
BSOFT_fo_1M
CANFINHOME_fo_1M
CHAMBLFERT_fo_1M
CIPLA_fo_1M
COALINDIA_fo_1M
COLPAL_fo_1M
CONCOR_fo_1M
COROMANDEL_fo_1M
CROMPTON_fo_1M
CUB_fo_1M
CUMMINSIND_fo_1M
DABUR_fo_1M
DALBHARAT_fo_1M
DEEPAKNTR_fo_1M
DIVISLAB_fo_1M
DLF_fo_1M
DRREDDY_fo_1M
EICHERMOT_fo_1M
ESCORTS_fo_1M
FEDERALBNK_fo_1M
GAIL_fo_1M
GLENMARK_fo_1M
GMRINFRA_fo_1M
GNFC_fo_1M
GODREJCP_fo_1M
GODREJPROP_fo_1M
GRANULES_fo_1M
GRASIM_fo_1M
GUJGASLTD_fo_1M
HAVELLS_fo_1M
HCLTECH_fo_1M
HDFCAMC_fo_1M
HDFCLIFE_fo_1M
HEROMOTOCO_fo_1M
HINDALCO_fo_1M
HINDCOPPER_fo_1M
HINDPETRO_fo_1M
HINDUNILVR_fo_1M
ICICIBANK_fo_1M
ICICIGI_fo_1M
ICICIPRULI_fo_1M
IDEA_fo_1M
IDFC_fo_1M
INDIACEM_fo_1M
INDIAMART_fo_1M
IPCALAB_fo_1M
IRCTC_fo_1M
JKCEMENT_fo_1M
JSWSTEEL_fo_1M
LALPATHLAB_fo_1M
LTF_fo_1M
METROPOLIS_fo_1M
MFSL_fo_1M
MRF_fo_1M
NAVINFLUOR_fo_1M
PAGEIND_fo_1M
PEL_fo_1M
RBLBANK_fo_1M
SAIL_fo_1M
SBILIFE_fo_1M
SUNTV_fo_1M
TATAPOWER_fo_1M
ULTRACEMCO_fo_1M
ZEEL_fo_1M
ZYDUSLIFE_fo_1M
UNITDSPR_fo_1M
